year,occupation,age_bracket,count_k,pct_women,total_employed_k,women_count_k_approx,data_note
2024,Network & Systems Admins,age_55_64,37.0,17.1,154.0,6.3,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Network & Systems Admins,age_65_plus,5.0,17.1,154.0,0.9,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Network & Systems Admins,total,154.0,17.1,154.0,26.3,women_count estimated from occupation-level pct_women × age_bracket_total
2015,Software Developers,age_16_19,1.0,17.9,1353.0,0.2,women_count estimated from occupation-level pct_women × age_bracket_total
2015,Software Developers,age_20_24,74.0,17.9,1353.0,13.2,women_count estimated from occupation-level pct_women × age_bracket_total
2015,Software Developers,age_25_34,438.0,17.9,1353.0,78.4,women_count estimated from occupation-level pct_women × age_bracket_total
2015,Software Developers,age_35_44,387.0,17.9,1353.0,69.3,women_count estimated from occupation-level pct_women × age_bracket_total
2015,Software Developers,age_45_54,280.0,17.9,1353.0,50.1,women_count estimated from occupation-level pct_women × age_bracket_total
2015,Software Developers,age_55_64,148.0,17.9,1353.0,26.5,women_count estimated from occupation-level pct_women × age_bracket_total
2015,Software Developers,age_65_plus,25.0,17.9,1353.0,4.5,women_count estimated from occupation-level pct_women × age_bracket_total
2015,Software Developers,total,1353.0,17.9,1353.0,242.2,women_count estimated from occupation-level pct_women × age_bracket_total
2016,Software Developers,age_16_19,6.0,20.0,1483.0,1.2,women_count estimated from occupation-level pct_women × age_bracket_total
2016,Software Developers,age_20_24,79.0,20.0,1483.0,15.8,women_count estimated from occupation-level pct_women × age_bracket_total
2016,Software Developers,age_25_34,490.0,20.0,1483.0,98.0,women_count estimated from occupation-level pct_women × age_bracket_total
2016,Software Developers,age_35_44,404.0,20.0,1483.0,80.8,women_count estimated from occupation-level pct_women × age_bracket_total
2016,Software Developers,age_45_54,302.0,20.0,1483.0,60.4,women_count estimated from occupation-level pct_women × age_bracket_total
2016,Software Developers,age_55_64,168.0,20.0,1483.0,33.6,women_count estimated from occupation-level pct_women × age_bracket_total
2016,Software Developers,age_65_plus,35.0,20.0,1483.0,7.0,women_count estimated from occupation-level pct_women × age_bracket_total
2016,Software Developers,total,1483.0,20.0,1483.0,296.6,women_count estimated from occupation-level pct_women × age_bracket_total
2017,Software Developers,age_16_19,5.0,18.7,1536.0,0.9,women_count estimated from occupation-level pct_women × age_bracket_total
2017,Software Developers,age_20_24,80.0,18.7,1536.0,15.0,women_count estimated from occupation-level pct_women × age_bracket_total
2017,Software Developers,age_25_34,526.0,18.7,1536.0,98.4,women_count estimated from occupation-level pct_women × age_bracket_total
2017,Software Developers,age_35_44,433.0,18.7,1536.0,81.0,women_count estimated from occupation-level pct_women × age_bracket_total
2017,Software Developers,age_45_54,277.0,18.7,1536.0,51.8,women_count estimated from occupation-level pct_women × age_bracket_total
2017,Software Developers,age_55_64,175.0,18.7,1536.0,32.7,women_count estimated from occupation-level pct_women × age_bracket_total
2017,Software Developers,age_65_plus,40.0,18.7,1536.0,7.5,women_count estimated from occupation-level pct_women × age_bracket_total
2017,Software Developers,total,1536.0,18.7,1536.0,287.2,women_count estimated from occupation-level pct_women × age_bracket_total
2018,Software Developers,age_16_19,1.0,19.3,1682.0,0.2,women_count estimated from occupation-level pct_women × age_bracket_total
2018,Software Developers,age_20_24,99.0,19.3,1682.0,19.1,women_count estimated from occupation-level pct_women × age_bracket_total
2018,Software Developers,age_25_34,595.0,19.3,1682.0,114.8,women_count estimated from occupation-level pct_women × age_bracket_total
2018,Software Developers,age_35_44,462.0,19.3,1682.0,89.2,women_count estimated from occupation-level pct_women × age_bracket_total
2018,Software Developers,age_45_54,291.0,19.3,1682.0,56.2,women_count estimated from occupation-level pct_women × age_bracket_total
2018,Software Developers,age_55_64,200.0,19.3,1682.0,38.6,women_count estimated from occupation-level pct_women × age_bracket_total
2018,Software Developers,age_65_plus,34.0,19.3,1682.0,6.6,women_count estimated from occupation-level pct_women × age_bracket_total
2018,Software Developers,total,1682.0,19.3,1682.0,324.6,women_count estimated from occupation-level pct_women × age_bracket_total
2019,Software Developers,age_16_19,2.0,18.7,1815.0,0.4,women_count estimated from occupation-level pct_women × age_bracket_total
2019,Software Developers,age_20_24,111.0,18.7,1815.0,20.8,women_count estimated from occupation-level pct_women × age_bracket_total
2019,Software Developers,age_25_34,640.0,18.7,1815.0,119.7,women_count estimated from occupation-level pct_women × age_bracket_total
2019,Software Developers,age_35_44,496.0,18.7,1815.0,92.8,women_count estimated from occupation-level pct_women × age_bracket_total
2019,Software Developers,age_45_54,313.0,18.7,1815.0,58.5,women_count estimated from occupation-level pct_women × age_bracket_total
2019,Software Developers,age_55_64,195.0,18.7,1815.0,36.5,women_count estimated from occupation-level pct_women × age_bracket_total
2019,Software Developers,age_65_plus,56.0,18.7,1815.0,10.5,women_count estimated from occupation-level pct_women × age_bracket_total
2019,Software Developers,total,1815.0,18.7,1815.0,339.4,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Software Developers,age_16_19,4.0,19.4,1883.0,0.8,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Software Developers,age_20_24,109.0,19.4,1883.0,21.1,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Software Developers,age_25_34,675.0,19.4,1883.0,131.0,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Software Developers,age_35_44,529.0,19.4,1883.0,102.6,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Software Developers,age_45_54,303.0,19.4,1883.0,58.8,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Software Developers,age_55_64,220.0,19.4,1883.0,42.7,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Software Developers,age_65_plus,43.0,19.4,1883.0,8.3,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Software Developers,total,1883.0,19.4,1883.0,365.3,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Software Developers,age_16_19,4.0,19.7,1932.0,0.8,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Software Developers,age_20_24,122.0,19.7,1932.0,24.0,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Software Developers,age_25_34,700.0,19.7,1932.0,137.9,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Software Developers,age_35_44,523.0,19.7,1932.0,103.0,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Software Developers,age_45_54,338.0,19.7,1932.0,66.6,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Software Developers,age_55_64,205.0,19.7,1932.0,40.4,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Software Developers,age_65_plus,40.0,19.7,1932.0,7.9,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Software Developers,total,1932.0,19.7,1932.0,380.6,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Software Developers,age_16_19,0.0,21.5,2085.0,0.0,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Software Developers,age_20_24,133.0,21.5,2085.0,28.6,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Software Developers,age_25_34,746.0,21.5,2085.0,160.4,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Software Developers,age_35_44,553.0,21.5,2085.0,118.9,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Software Developers,age_45_54,376.0,21.5,2085.0,80.8,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Software Developers,age_55_64,234.0,21.5,2085.0,50.3,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Software Developers,age_65_plus,43.0,21.5,2085.0,9.2,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Software Developers,total,2085.0,21.5,2085.0,448.3,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Software Developers,age_16_19,7.0,20.2,2134.0,1.4,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Software Developers,age_20_24,132.0,20.2,2134.0,26.7,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Software Developers,age_25_34,779.0,20.2,2134.0,157.4,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Software Developers,age_35_44,582.0,20.2,2134.0,117.6,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Software Developers,age_45_54,349.0,20.2,2134.0,70.5,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Software Developers,age_55_64,220.0,20.2,2134.0,44.4,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Software Developers,age_65_plus,65.0,20.2,2134.0,13.1,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Software Developers,total,2134.0,20.2,2134.0,431.1,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Software Developers,age_16_19,3.0,20.3,2077.0,0.6,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Software Developers,age_20_24,129.0,20.3,2077.0,26.2,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Software Developers,age_25_34,742.0,20.3,2077.0,150.6,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Software Developers,age_35_44,567.0,20.3,2077.0,115.1,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Software Developers,age_45_54,366.0,20.3,2077.0,74.3,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Software Developers,age_55_64,230.0,20.3,2077.0,46.7,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Software Developers,age_65_plus,40.0,20.3,2077.0,8.1,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Software Developers,total,2077.0,20.3,2077.0,421.6,women_count estimated from occupation-level pct_women × age_bracket_total
