year,occupation,age_bracket,count_k
2024,Computer Hardware Engineers,age_16_19,0.0
2024,Computer Hardware Engineers,age_20_24,5.0
2024,Computer Hardware Engineers,age_25_34,25.0
2024,Computer Hardware Engineers,age_35_44,21.0
2024,Computer Hardware Engineers,age_45_54,12.0
2024,Computer Hardware Engineers,age_55_64,19.0
2024,Computer Hardware Engineers,age_65_plus,4.0
2024,Computer Hardware Engineers,total,85.0
2015,Computer Network Architects,age_16_19,0.0
2015,Computer Network Architects,age_20_24,1.0
2015,Computer Network Architects,age_25_34,24.0
2015,Computer Network Architects,age_35_44,45.0
2015,Computer Network Architects,age_45_54,28.0
2015,Computer Network Architects,age_55_64,10.0
2015,Computer Network Architects,age_65_plus,6.0
2015,Computer Network Architects,total,114.0
2016,Computer Network Architects,age_16_19,0.0
2016,Computer Network Architects,age_20_24,5.0
2016,Computer Network Architects,age_25_34,31.0
2016,Computer Network Architects,age_35_44,42.0
2016,Computer Network Architects,age_45_54,26.0
2016,Computer Network Architects,age_55_64,9.0
2016,Computer Network Architects,age_65_plus,3.0
2016,Computer Network Architects,total,115.0
2017,Computer Network Architects,age_16_19,0.0
2017,Computer Network Architects,age_20_24,4.0
2017,Computer Network Architects,age_25_34,23.0
2017,Computer Network Architects,age_35_44,37.0
2017,Computer Network Architects,age_45_54,28.0
2017,Computer Network Architects,age_55_64,10.0
2017,Computer Network Architects,age_65_plus,4.0
2017,Computer Network Architects,total,106.0
2018,Computer Network Architects,age_16_19,0.0
2018,Computer Network Architects,age_20_24,1.0
2018,Computer Network Architects,age_25_34,24.0
2018,Computer Network Architects,age_35_44,34.0
2018,Computer Network Architects,age_45_54,33.0
2018,Computer Network Architects,age_55_64,18.0
2018,Computer Network Architects,age_65_plus,4.0
2018,Computer Network Architects,total,114.0
2019,Computer Network Architects,age_16_19,0.0
2019,Computer Network Architects,age_20_24,1.0
2019,Computer Network Architects,age_25_34,15.0
2019,Computer Network Architects,age_35_44,32.0
2019,Computer Network Architects,age_45_54,37.0
2019,Computer Network Architects,age_55_64,19.0
2019,Computer Network Architects,age_65_plus,3.0
2019,Computer Network Architects,total,106.0
2020,Computer Network Architects,age_16_19,0.0
2020,Computer Network Architects,age_20_24,1.0
2020,Computer Network Architects,age_25_34,20.0
2020,Computer Network Architects,age_35_44,34.0
2020,Computer Network Architects,age_45_54,38.0
2020,Computer Network Architects,age_55_64,13.0
2020,Computer Network Architects,age_65_plus,2.0
2020,Computer Network Architects,total,107.0
2021,Computer Network Architects,age_16_19,0.0
2021,Computer Network Architects,age_20_24,0.0
2021,Computer Network Architects,age_25_34,14.0
2021,Computer Network Architects,age_35_44,39.0
2021,Computer Network Architects,age_45_54,30.0
2021,Computer Network Architects,age_55_64,16.0
2021,Computer Network Architects,age_65_plus,2.0
2021,Computer Network Architects,total,102.0
2022,Computer Network Architects,age_16_19,0.0
2022,Computer Network Architects,age_20_24,3.0
2022,Computer Network Architects,age_25_34,20.0
2022,Computer Network Architects,age_35_44,32.0
2022,Computer Network Architects,age_45_54,24.0
2022,Computer Network Architects,age_55_64,15.0
2022,Computer Network Architects,age_65_plus,4.0
2022,Computer Network Architects,total,98.0
2023,Computer Network Architects,age_16_19,0.0
2023,Computer Network Architects,age_20_24,4.0
2023,Computer Network Architects,age_25_34,23.0
2023,Computer Network Architects,age_35_44,34.0
2023,Computer Network Architects,age_45_54,23.0
2023,Computer Network Architects,age_55_64,18.0
2023,Computer Network Architects,age_65_plus,1.0
2023,Computer Network Architects,total,104.0
2024,Computer Network Architects,age_16_19,0.0
2024,Computer Network Architects,age_20_24,2.0
2024,Computer Network Architects,age_25_34,20.0
2024,Computer Network Architects,age_35_44,51.0
2024,Computer Network Architects,age_45_54,43.0
2024,Computer Network Architects,age_55_64,17.0
2024,Computer Network Architects,age_65_plus,6.0
2024,Computer Network Architects,total,139.0
2015,Computer Programmers,age_16_19,2.0
2015,Computer Programmers,age_20_24,28.0
2015,Computer Programmers,age_25_34,108.0
2015,Computer Programmers,age_35_44,127.0
2015,Computer Programmers,age_45_54,123.0
2015,Computer Programmers,age_55_64,77.0
2015,Computer Programmers,age_65_plus,15.0
2015,Computer Programmers,total,480.0
2016,Computer Programmers,age_16_19,3.0
2016,Computer Programmers,age_20_24,26.0
2016,Computer Programmers,age_25_34,109.0
2016,Computer Programmers,age_35_44,124.0
2016,Computer Programmers,age_45_54,119.0
2016,Computer Programmers,age_55_64,66.0
2016,Computer Programmers,age_65_plus,19.0
2016,Computer Programmers,total,466.0
2017,Computer Programmers,age_16_19,4.0
2017,Computer Programmers,age_20_24,27.0
2017,Computer Programmers,age_25_34,125.0
2017,Computer Programmers,age_35_44,131.0
2017,Computer Programmers,age_45_54,113.0
2017,Computer Programmers,age_55_64,62.0
2017,Computer Programmers,age_65_plus,12.0
2017,Computer Programmers,total,473.0
2018,Computer Programmers,age_16_19,3.0
2018,Computer Programmers,age_20_24,28.0
2018,Computer Programmers,age_25_34,117.0
2018,Computer Programmers,age_35_44,111.0
2018,Computer Programmers,age_45_54,126.0
2018,Computer Programmers,age_55_64,73.0
2018,Computer Programmers,age_65_plus,18.0
2018,Computer Programmers,total,477.0
2019,Computer Programmers,age_16_19,2.0
2019,Computer Programmers,age_20_24,19.0
2019,Computer Programmers,age_25_34,117.0
2019,Computer Programmers,age_35_44,105.0
2019,Computer Programmers,age_45_54,116.0
2019,Computer Programmers,age_55_64,72.0
2019,Computer Programmers,age_65_plus,24.0
2019,Computer Programmers,total,454.0
2020,Computer Programmers,age_16_19,3.0
2020,Computer Programmers,age_20_24,19.0
2020,Computer Programmers,age_25_34,102.0
2020,Computer Programmers,age_35_44,109.0
2020,Computer Programmers,age_45_54,81.0
2020,Computer Programmers,age_55_64,89.0
2020,Computer Programmers,age_65_plus,15.0
2020,Computer Programmers,total,417.0
2021,Computer Programmers,age_16_19,5.0
2021,Computer Programmers,age_20_24,19.0
2021,Computer Programmers,age_25_34,108.0
2021,Computer Programmers,age_35_44,115.0
2021,Computer Programmers,age_45_54,95.0
2021,Computer Programmers,age_55_64,82.0
2021,Computer Programmers,age_65_plus,20.0
2021,Computer Programmers,total,444.0
2022,Computer Programmers,age_16_19,9.0
2022,Computer Programmers,age_20_24,21.0
2022,Computer Programmers,age_25_34,118.0
2022,Computer Programmers,age_35_44,107.0
2022,Computer Programmers,age_45_54,82.0
2022,Computer Programmers,age_55_64,92.0
2022,Computer Programmers,age_65_plus,27.0
2022,Computer Programmers,total,457.0
2023,Computer Programmers,age_16_19,3.0
2023,Computer Programmers,age_20_24,19.0
2023,Computer Programmers,age_25_34,103.0
2023,Computer Programmers,age_35_44,99.0
2023,Computer Programmers,age_45_54,84.0
2023,Computer Programmers,age_55_64,71.0
2023,Computer Programmers,age_65_plus,23.0
2023,Computer Programmers,total,402.0
2024,Computer Programmers,age_16_19,3.0
2024,Computer Programmers,age_20_24,21.0
2024,Computer Programmers,age_25_34,74.0
2024,Computer Programmers,age_35_44,88.0
2024,Computer Programmers,age_45_54,74.0
2024,Computer Programmers,age_55_64,60.0
2024,Computer Programmers,age_65_plus,14.0
2024,Computer Programmers,total,334.0
2015,Computer Support Specialists,age_16_19,6.0
2015,Computer Support Specialists,age_20_24,40.0
